,date,time,distance(m),speed(mm/s),heart_rate(bpm),position_lat,position_long
230,2018-12-10,08:08:06,1576.71,3537,107,33.64951414056122,73.02894280292094
231,2018-12-10,08:08:11,1599.62,3640,107,33.649701392278075,73.0288393702358
232,2018-12-10,08:08:13,1610.39,3710,107,33.649783032014966,73.02877667360008
233,2018-12-10,08:08:18,1633.08,3714,108,33.64994798786938,73.02863325923681
234,2018-12-10,08:08:23,1653.21,4195,108,33.65010506473482,73.02852504886687
235,2018-12-10,08:08:29,1660.03,1252,106,33.65015896037221,73.02849093452096
236,2018-12-10,08:08:42,1668.65,521,103,33.65010732784867,73.02849093452096
237,2018-12-10,08:09:04,1673.15,471,100,33.65013364702463,73.02850493229926
238,2018-12-10,08:09:31,1679.9,432,97,33.65015133284032,73.02849152125418
239,2018-12-10,08:09:40,1681.57,394,100,33.65016030147672,73.02848498336971
240,2018-12-10,08:10:47,1702.07,437,99,33.65014328621328,73.02847643382847
241,2018-12-10,08:10:56,1703.99,451,102,33.650131886824965,73.02851649932563
242,2018-12-10,08:11:26,1713.81,448,99,33.65007438696921,73.02849286235869
243,2018-12-10,08:11:41,1717.0,399,96,33.650051252916455,73.02848489955068
244,2018-12-10,08:12:17,1731.0,521,93,33.65010674111545,73.02845908328891
245,2018-12-10,08:12:25,1731.63,471,90,33.650107495486736,73.02846377715468
246,2018-12-10,08:12:33,1733.05,457,87,33.650106489658356,73.02847316488624
247,2018-12-10,08:12:40,1733.9,454,84,33.65008846856654,73.02849001251161
248,2018-12-10,08:12:43,1734.31,437,87,33.65008536726236,73.02849336527288
249,2018-12-10,08:13:01,1739.53,442,83,33.65006701089442,73.0285267252475
250,2018-12-10,08:13:02,1739.84,443,83,33.650071285665035,73.02852747961879
251,2018-12-10,08:13:26,1747.59,449,80,33.650072291493416,73.02855715155602
252,2018-12-10,08:13:59,1754.38,427,77,33.65009726956487,73.02851281128824
253,2018-12-10,08:14:08,1757.05,418,74,33.65009483881295,73.02851742133498
254,2018-12-10,08:14:33,1769.07,564,79,33.650079080834985,73.02846696227789
255,2018-12-10,08:14:34,1769.16,564,82,33.650081763044,73.02847199141979
256,2018-12-10,08:14:44,1773.55,582,85,33.65010179579258,73.02843117155135
257,2018-12-10,08:14:46,1774.05,570,88,33.650105483829975,73.02842807024717
258,2018-12-10,08:14:56,1796.14,907,88,33.64994932897389,73.02852680906653
259,2018-12-10,08:14:57,1801.5,997,92,33.64990976639092,73.02856058813632
260,2018-12-10,08:14:58,1805.87,1065,92,33.64987791515887,73.02858866751194
261,2018-12-10,08:14:59,1809.98,1126,95,33.649849416688085,73.02861716598272
262,2018-12-10,08:15:00,1814.83,1201,98,33.649817649275064,73.02865337580442
263,2018-12-10,08:15:04,1837.71,1554,95,33.64965378306806,73.02880265749991
264,2018-12-10,08:15:05,1841.83,1605,95,33.649622770026326,73.02882704883814
265,2018-12-10,08:15:07,1849.79,1700,91,33.64956233650446,73.02887138910592
266,2018-12-10,08:15:08,1852.39,1724,87,33.64954389631748,73.02889309823513
267,2018-12-10,08:15:10,1860.01,1833,84,33.64954381249845,73.02897465415299
268,2018-12-10,08:15:12,1870.65,4877,81,33.64958681166172,73.02907674573362
269,2018-12-10,08:15:13,1876.24,5272,81,33.64961279556155,73.02912837825716
270,2018-12-10,08:15:15,1888.69,5423,85,33.6496655177325,73.029246898368
271,2018-12-10,08:15:17,1902.26,5477,88,33.64972377195954,73.02937556058168
272,2018-12-10,08:15:19,1915.6,5524,91,33.64978076890111,73.02950204350054
273,2018-12-10,08:15:23,1931.42,5401,92,33.64984514191747,73.02965425886214
274,2018-12-10,08:15:29,1951.78,5174,93,33.649732656776905,73.02981661632657
275,2018-12-10,08:15:31,1958.47,5102,94,33.64968169480562,73.02985517308116
276,2018-12-10,08:15:32,1962.95,5090,94,33.64965244196355,73.02988870069385
277,2018-12-10,08:15:36,1981.45,5061,94,33.64960290491581,73.03007553331554
278,2018-12-10,08:15:38,1990.88,4845,95,33.64962536841631,73.03017326630652
279,2018-12-10,08:15:42,2017.92,6414,95,33.64971270784736,73.0304451752454
280,2018-12-10,08:15:45,2042.73,6527,94,33.64982485771179,73.03067802451551
281,2018-12-10,08:15:48,2069.67,8847,92,33.64996357820928,73.03091699257493
282,2018-12-10,08:15:51,2096.44,8830,90,33.65010959096253,73.03114774636924
283,2018-12-10,08:15:54,2123.52,8843,88,33.650258872658014,73.03138017654419
284,2018-12-10,08:15:57,2143.58,8716,86,33.650357108563185,73.03156189620495
285,2018-12-10,08:16:00,2155.79,8443,86,33.65038862451911,73.03168418817222
286,2018-12-10,08:16:04,2180.86,8277,86,33.65021553821862,73.03185911849141
287,2018-12-10,08:16:05,2186.87,8232,87,33.65016683936119,73.03188770078123
288,2018-12-10,08:16:09,2207.92,5808,87,33.65000951103866,73.0320147704333
289,2018-12-10,08:16:13,2233.39,6606,87,33.6498158890754,73.03216145373881
290,2018-12-10,08:16:16,2246.47,4748,87,33.64972318522632,73.0322481226176
